Name,Price,Discount
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 929,34%
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),KSh 902,44%
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack (1YR WRTY),"KSh 1,699",35%
Rashnik Manual Water Dispenser Pump,KSh 286,No discount
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow,"KSh 1,820",39%
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet,"KSh 3,299",34%
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver(1 YR WRTY),"KSh 16,999",32%
"Multicolor Duvet Blanket, Sheet, 2 Pillow Cases","KSh 2,099",48%
Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,"KSh 1,599",38%
"Mosquito Net With Metallic Stand, - Purple","KSh 1,299 - KSh 1,469",48%
Nunix Free standing Hot and Normal -Q7n White,"KSh 3,685",No discount
"Superfoam Luxury White Fiber Pillow 600gms ( 100% Pure Fiber, Soft Feel) 68 Cm X 43 Cm",KSh 850,12%
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet,"KSh 6,499",24%
Sonar C7 Hot And Normal Water Dispenser -blue And White (1YR WRTY),"KSh 3,910",22%
Rashnik Electric Water Dispenser Pump,KSh 429,No discount
AILYONS FK-0308 Stainless Steel 2.2L Electric Kettle (1YR WRTY),KSh 902,44%
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),KSh 738,47%
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner, 1YR WRTY","KSh 2,369",28%
Rashnik 2 Burner Gas Table Top Cooker (Rn-1529B) - Black,"KSh 1,650",No discount
HOMMY Portable Wardrobe 3 Column - Grey Cover,"KSh 2,599",35%
Rashnik Quartz Heater Qh-80c,"KSh 1,679",No discount
AILYONS FK-0318 Stainless Steel 3.5L Electric Kettle-Ultra Plus Kettle. (1YR WRTY),"KSh 1,453",27%
HOMMY 3 Column Portable Wardrobe - Brown Cover,"KSh 2,599",42%
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)","KSh 2,298",30%
Rashnik 7 Piece Kitchen Knife Set,KSh 611,1%
10kg Digital Kitchen Electronic Cooking Weighing Scale,KSh 473,41%
Vitron VB-886 - 2in1 Blender - 1.5L - 350W - White,"KSh 1,820",39%
